dataset,task,model,feature_set,metric,fold,value,n_features_added
housing,regression,random_forest,baseline,rmse,2,25807.38051883749,0
housing,regression,random_forest,baseline,rmse,3,26656.26170881282,0
housing,regression,random_forest,baseline,rmse,4,23175.23169428684,0
housing,regression,random_forest,baseline,mae,0,15793.40026450512,0
housing,regression,random_forest,baseline,mae,1,15142.775519665203,0
housing,regression,random_forest,baseline,mae,2,16167.128759954494,0
housing,regression,random_forest,baseline,mae,3,15784.197064846418,0
housing,regression,random_forest,baseline,mae,4,15243.12372866894,0
housing,regression,random_forest,baseline,r2,0,0.90910834580142,0
housing,regression,random_forest,baseline,r2,1,0.8888449362554763,0
housing,regression,random_forest,baseline,r2,2,0.8987671078080607,0
housing,regression,random_forest,baseline,r2,3,0.8796335948542526,0
housing,regression,random_forest,baseline,r2,4,0.905066181804307,0
housing,regression,xgboost,baseline,rmse,0,24580.9453125,0
housing,regression,xgboost,baseline,rmse,1,23988.185546875,0
housing,regression,xgboost,baseline,rmse,2,23992.884765625,0
housing,regression,xgboost,baseline,rmse,3,23833.75,0
housing,regression,xgboost,baseline,rmse,4,20746.01953125,0
housing,regression,xgboost,baseline,mae,0,14616.5322265625,0
housing,regression,xgboost,baseline,mae,1,14296.7109375,0
housing,regression,xgboost,baseline,mae,2,14533.162109375,0
housing,regression,xgboost,baseline,mae,3,14240.822265625,0
housing,regression,xgboost,baseline,mae,4,13374.646484375,0
housing,regression,xgboost,baseline,r2,0,0.9246374368667604,0
housing,regression,xgboost,baseline,r2,1,0.8978111147880554,0
housing,regression,xgboost,baseline,r2,2,0.912501871585846,0
housing,regression,xgboost,baseline,r2,3,0.9037742018699646,0
housing,regression,xgboost,baseline,r2,4,0.9239249229431152,0
bank,classification,logreg,baseline,accuracy,0,0.896091284292304,0
bank,classification,logreg,baseline,accuracy,1,0.900825443068706,0
bank,classification,logreg,baseline,accuracy,2,0.9053168244719592,0
bank,classification,logreg,baseline,accuracy,3,0.8994779652786209,0
bank,classification,logreg,baseline,accuracy,4,0.8988709481607381,0
bank,classification,logreg,baseline,f1,0,0.2890365448504983,0
bank,classification,logreg,baseline,f1,1,0.3405972558514931,0
bank,classification,logreg,baseline,f1,2,0.3981481481481481,0
bank,classification,logreg,baseline,f1,3,0.3428571428571428,0
bank,classification,logreg,baseline,f1,4,0.327683615819209,0
bank,classification,logreg,baseline,roc_auc,0,0.7885711000518894,0
bank,classification,logreg,baseline,roc_auc,1,0.7852903586254069,0
bank,classification,logreg,baseline,roc_auc,2,0.8044580522666163,0
bank,classification,logreg,baseline,roc_auc,3,0.7875806899618327,0
bank,classification,logreg,baseline,roc_auc,4,0.7919150663329574,0
bank,classification,random_forest,baseline,accuracy,0,0.8900218499635834,0
bank,classification,random_forest,baseline,accuracy,1,0.8902646273367322,0
bank,classification,random_forest,baseline,accuracy,2,0.8947560087399854,0
bank,classification,random_forest,baseline,accuracy,3,0.894621828335559,0
bank,classification,random_forest,baseline,accuracy,4,0.8934077940997937,0
bank,classification,random_forest,baseline,f1,0,0.3547008547008547,0
bank,classification,random_forest,baseline,f1,1,0.3695955369595537,0
bank,classification,random_forest,baseline,f1,2,0.4114052953156822,0
bank,classification,random_forest,baseline,f1,3,0.3817663817663818,0
bank,classification,random_forest,baseline,f1,4,0.3773049645390071,0
bank,classification,random_forest,baseline,roc_auc,0,0.7671696630737299,0
bank,classification,random_forest,baseline,roc_auc,1,0.7726103678239539,0
bank,classification,random_forest,baseline,roc_auc,2,0.7842165314401623,0
bank,classification,random_forest,baseline,roc_auc,3,0.7735382334486061,0
bank,classification,random_forest,baseline,roc_auc,4,0.7821519200466123,0
bank,classification,xgboost,baseline,accuracy,0,0.8979121145909201,0
bank,classification,xgboost,baseline,accuracy,1,0.895241563486283,0
bank,classification,xgboost,baseline,accuracy,2,0.9039815489196408,0
bank,classification,xgboost,baseline,accuracy,3,0.899720772125774,0
bank,classification,xgboost,baseline,accuracy,4,0.8989923515843147,0
bank,classification,xgboost,baseline,f1,0,0.3709798055347794,0
bank,classification,xgboost,baseline,f1,1,0.3621581670362158,0
bank,classification,xgboost,baseline,f1,2,0.4288808664259927,0
bank,classification,xgboost,baseline,f1,3,0.3732928679817905,0
bank,classification,xgboost,baseline,f1,4,0.36,0
bank,classification,xgboost,baseline,roc_auc,0,0.793058634841266,0
bank,classification,xgboost,baseline,roc_auc,1,0.7868830782112364,0
bank,classification,xgboost,baseline,roc_auc,2,0.8077974639133921,0
bank,classification,xgboost,baseline,roc_auc,3,0.7967163623260882,0
bank,classification,xgboost,baseline,roc_auc,4,0.7996153331273206,0
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,accuracy,0,0.8183108587650816,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,accuracy,1,0.8041163946061036,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,accuracy,2,0.8119233498935415,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,accuracy,3,0.7961647727272727,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,accuracy,4,0.7982954545454546,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,f1,0,0.6235294117647059,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,f1,1,0.5892857142857143,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,f1,2,0.6038863976083707,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,f1,3,0.5644916540212443,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,f1,4,0.5773809523809523,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,roc_auc,0,0.8610232762406675,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,roc_auc,1,0.8463070603735565,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,roc_auc,2,0.8604562246505981,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,roc_auc,3,0.831056455686366,7
churn,classification,logreg,llm_gpt-4o-mini__zero_shot,roc_auc,4,0.8389683902398659,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,accuracy,0,0.7955997161107168,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,accuracy,1,0.7892122072391767,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,accuracy,2,0.7955997161107168,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,accuracy,3,0.7762784090909091,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,accuracy,4,0.78125,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,f1,0,0.5739644970414202,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,f1,1,0.5638766519823789,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,f1,2,0.5636363636363636,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,f1,3,0.5176110260336907,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,f1,4,0.5319148936170213,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,roc_auc,0,0.8399700328089075,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,roc_auc,1,0.8238730011108528,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,roc_auc,2,0.8387519698261386,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,roc_auc,3,0.8098496328243385,7
churn,classification,random_forest,llm_gpt-4o-mini__zero_shot,roc_auc,4,0.8218059247613236,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,accuracy,0,0.794889992902768,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,accuracy,1,0.7913413768630234,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,accuracy,2,0.8055358410220014,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,accuracy,3,0.7840909090909091,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,accuracy,4,0.7982954545454546,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,f1,0,0.5781021897810219,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,f1,1,0.5859154929577465,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,f1,2,0.6051873198847262,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,f1,3,0.5529411764705883,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,f1,4,0.5773809523809523,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,roc_auc,0,0.8405771267663851,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,roc_auc,1,0.827345061871916,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,roc_auc,2,0.8437882662946601,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,roc_auc,3,0.823166388208934,7
churn,classification,xgboost,llm_gpt-4o-mini__zero_shot,roc_auc,4,0.8360592786437593,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,accuracy,0,0.8119233498935415,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,accuracy,1,0.8133427963094393,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,accuracy,2,0.8112136266855926,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,accuracy,3,0.7911931818181818,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,accuracy,4,0.8053977272727273,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,f1,0,0.6062407132243685,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,f1,1,0.6068759342301944,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,f1,2,0.6006006006006006,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,f1,3,0.5531914893617021,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,f1,4,0.5848484848484848,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,roc_auc,0,0.8584037303986154,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,roc_auc,1,0.8477201684362811,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,roc_auc,2,0.8603761399157819,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,roc_auc,3,0.8317247542448615,7
churn,classification,logreg,llm_claude-sonnet__zero_shot,roc_auc,4,0.8410008895416792,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,accuracy,0,0.794180269694819,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,accuracy,1,0.7963094393186657,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,accuracy,2,0.7977288857345636,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,accuracy,3,0.7755681818181818,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,accuracy,4,0.7748579545454546,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,f1,0,0.5797101449275363,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,f1,1,0.5760709010339734,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,f1,2,0.5727136431784108,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,f1,3,0.5138461538461538,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,f1,4,0.5145482388973966,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,roc_auc,0,0.8374925727866905,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,roc_auc,1,0.8219470924074505,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,roc_auc,2,0.836853186597432,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,roc_auc,3,0.810507570164873,7
churn,classification,random_forest,llm_claude-sonnet__zero_shot,roc_auc,4,0.8211736778411031,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,accuracy,0,0.7977288857345636,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,accuracy,1,0.7920511000709723,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,accuracy,2,0.8026969481902059,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,accuracy,3,0.7805397727272727,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,accuracy,4,0.7933238636363636,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,f1,0,0.5875542691751086,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,f1,1,0.580829756795422,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,f1,2,0.5959302325581395,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,f1,3,0.5422222222222223,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,f1,4,0.562406015037594,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,roc_auc,0,0.8479888398046965,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,roc_auc,1,0.8247474747474748,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,roc_auc,2,0.8430726704383995,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,roc_auc,3,0.8238450479853907,7
churn,classification,xgboost,llm_claude-sonnet__zero_shot,roc_auc,4,0.8315262363077813,7
churn,classification,logreg,llm_gemini-flash__zero_shot,accuracy,0,0.8069552874378992,7
churn,classification,logreg,llm_gemini-flash__zero_shot,accuracy,1,0.8062455642299503,7
churn,classification,logreg,llm_gemini-flash__zero_shot,accuracy,2,0.8218594748048261,7
churn,classification,logreg,llm_gemini-flash__zero_shot,accuracy,3,0.7919034090909091,7
churn,classification,logreg,llm_gemini-flash__zero_shot,accuracy,4,0.7961647727272727,7
churn,classification,logreg,llm_gemini-flash__zero_shot,f1,0,0.6091954022988506,7
churn,classification,logreg,llm_gemini-flash__zero_shot,f1,1,0.6049204052098408,7
churn,classification,logreg,llm_gemini-flash__zero_shot,f1,2,0.6357039187227866,7
churn,classification,logreg,llm_gemini-flash__zero_shot,f1,3,0.5620328849028401,7
churn,classification,logreg,llm_gemini-flash__zero_shot,f1,4,0.5773195876288659,7
churn,classification,logreg,llm_gemini-flash__zero_shot,roc_auc,0,0.8552184246557649,7
churn,classification,logreg,llm_gemini-flash__zero_shot,roc_auc,1,0.8437055981813015,7
churn,classification,logreg,llm_gemini-flash__zero_shot,roc_auc,2,0.863440026867137,7
churn,classification,logreg,llm_gemini-flash__zero_shot,roc_auc,3,0.8246558132908524,7
churn,classification,logreg,llm_gemini-flash__zero_shot,roc_auc,4,0.8360515210128363,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,accuracy,0,0.7977288857345636,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,accuracy,1,0.7955997161107168,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,accuracy,2,0.7927608232789212,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,accuracy,3,0.7734375,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,accuracy,4,0.7869318181818182,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,f1,0,0.5802650957290133,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,f1,1,0.5777126099706745,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,f1,2,0.5654761904761905,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,f1,3,0.5054263565891473,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,f1,4,0.5454545454545454,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,roc_auc,0,0.8354452452917925,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,roc_auc,1,0.8217623808416648,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,roc_auc,2,0.8360639644527111,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,roc_auc,3,0.8069756899923586,7
churn,classification,random_forest,llm_gemini-flash__zero_shot,roc_auc,4,0.8194256250064648,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,accuracy,0,0.8076650106458482,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,accuracy,1,0.7913413768630234,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,accuracy,2,0.7984386089425124,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,accuracy,3,0.7705965909090909,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,accuracy,4,0.7940340909090909,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,f1,0,0.6032210834553441,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,f1,1,0.5811965811965812,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,f1,2,0.5811209439528023,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,f1,3,0.518628912071535,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,f1,4,0.5645645645645646,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,roc_auc,0,0.845046371644837,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,roc_auc,1,0.8235539538608593,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,roc_auc,2,0.8370469399881164,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,roc_auc,3,0.8157348046262838,7
churn,classification,xgboost,llm_gemini-flash__zero_shot,roc_auc,4,0.832175291428335,7
churn,classification,logreg,llm_deepseek-v3__zero_shot,accuracy,0,0.808374733853797,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,accuracy,1,0.8133427963094393,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,accuracy,2,0.8176011355571328,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,accuracy,3,0.7933238636363636,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,accuracy,4,0.7933238636363636,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,f1,0,0.6052631578947368,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,f1,1,0.6193921852387844,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,f1,2,0.6291486291486291,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,f1,3,0.562406015037594,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,f1,4,0.5726872246696035,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,roc_auc,0,0.8533583921051952,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,roc_auc,1,0.8457929680436075,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,roc_auc,2,0.8635175282234104,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,roc_auc,3,0.8245340689798086,6
churn,classification,logreg,llm_deepseek-v3__zero_shot,roc_auc,4,0.8353947082613598,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,accuracy,0,0.7955997161107168,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,accuracy,1,0.7963094393186657,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,accuracy,2,0.7984386089425124,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,accuracy,3,0.7791193181818182,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,accuracy,4,0.7784090909090909,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,f1,0,0.5764705882352941,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,f1,1,0.5722801788375559,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,f1,2,0.5683890577507599,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,f1,3,0.517829457364341,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,f1,4,0.5170278637770898,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,roc_auc,0,0.8374628639334522,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,roc_auc,1,0.8244878452039579,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,roc_auc,2,0.8370792322198971,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,roc_auc,3,0.8059564051754284,6
churn,classification,random_forest,llm_deepseek-v3__zero_shot,roc_auc,4,0.8174577726290094,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,accuracy,0,0.8034066713981547,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,accuracy,1,0.78708303761533,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,accuracy,2,0.8034066713981547,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,accuracy,3,0.7791193181818182,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,accuracy,4,0.7911931818181818,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,f1,0,0.593245227606461,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,f1,1,0.5677233429394812,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,f1,2,0.587183308494784,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,f1,3,0.5365126676602087,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,f1,4,0.5598802395209581,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,roc_auc,0,0.8480443824433593,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,roc_auc,1,0.8262355007879304,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,roc_auc,2,0.8437508073057944,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,roc_auc,3,0.8189934076750721,6
churn,classification,xgboost,llm_deepseek-v3__zero_shot,roc_auc,4,0.8334630581615449,6
churn,classification,logreg,llm_llama-3.3__zero_shot,accuracy,0,0.8048261178140526,6
churn,classification,logreg,llm_llama-3.3__zero_shot,accuracy,1,0.8069552874378992,6
churn,classification,logreg,llm_llama-3.3__zero_shot,accuracy,2,0.8168914123491838,6
churn,classification,logreg,llm_llama-3.3__zero_shot,accuracy,3,0.7883522727272727,6
churn,classification,logreg,llm_llama-3.3__zero_shot,accuracy,4,0.7947443181818182,6
churn,classification,logreg,llm_llama-3.3__zero_shot,f1,0,0.6031746031746031,6
churn,classification,logreg,llm_llama-3.3__zero_shot,f1,1,0.6103151862464183,6
churn,classification,logreg,llm_llama-3.3__zero_shot,f1,2,0.6271676300578035,6
churn,classification,logreg,llm_llama-3.3__zero_shot,f1,3,0.5578635014836796,6
churn,classification,logreg,llm_llama-3.3__zero_shot,f1,4,0.5756240822320118,6
churn,classification,logreg,llm_llama-3.3__zero_shot,roc_auc,0,0.8528081324756517,6
churn,classification,logreg,llm_llama-3.3__zero_shot,roc_auc,1,0.8445400294505153,6
churn,classification,logreg,llm_llama-3.3__zero_shot,roc_auc,2,0.8634271099744245,6
churn,classification,logreg,llm_llama-3.3__zero_shot,roc_auc,3,0.8257126575228918,6
churn,classification,logreg,llm_llama-3.3__zero_shot,roc_auc,4,0.8367186772722099,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,accuracy,0,0.7955997161107168,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,accuracy,1,0.7963094393186657,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,accuracy,2,0.8034066713981547,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,accuracy,3,0.7762784090909091,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,accuracy,4,0.7840909090909091,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,f1,0,0.5727002967359051,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,f1,1,0.5760709010339734,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,f1,2,0.5809379727685325,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,f1,3,0.5101088646967341,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,f1,4,0.5294117647058824,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,roc_auc,0,0.8361259655377303,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,roc_auc,1,0.821498876230334,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,roc_auc,2,0.838376088248211,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,roc_auc,3,0.8101345663182709,6
churn,classification,random_forest,llm_llama-3.3__zero_shot,roc_auc,4,0.8198510017687398,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,accuracy,0,0.7984386089425124,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,accuracy,1,0.7963094393186657,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,accuracy,2,0.7991483321504613,6
churn,classification,xgboost,llm_llama-3.3__zero_shot,accuracy,3,0.7727272727272727,6
